headline,cluster
Western Areas Option to Acquire BioHeap Leaching Technology,2
Wunderlich Securities Considers Potential Acquisition Of DirecTV By AT&T,8
14 Lowest PEG Ratios In The S&P 500,0
"Raymond James Angelica Jarvenpaa Says Tax Credit Was One of Most Significant Wildcards Facing Solar Industry Up To This Point, Says This Will Undoubtedly Spur Demand and Grow Supply",8
"Benzinga Pro Afternoon Price Check For Sector ETFs: Retail ETF (XRT) Up 0.4%, Staples (VDC) Up 0.2%, Industrials (VIS) Up 0.6%, Financials (XLF) Up 0.9%, Tech (XLK) Up 0.2%, Energy (XLE) Up 1.8%, Utilities (VPU) Up 0.4%",5
Top 4 Mid-Cap Stocks In The Gold Industry With The Highest ROE,0
"Stifel Nicolaus Maintains Buy on Proofpoint, Inc., Raises PT to $50.00",5
"As Price Falls, Vetr Upgrades GlaxoSmithKline To Buy",5
"Mid-Day Market Update: Zynga Rides Positive Social Media Sentiment, Jos. A Bank Falls on Bad Guidance",3
"Tesla Wants to Produce 500K Electric Cars per Year at Planned Gigafactory in Brandenburg, Germany",8
"Stocks That Made New 52-Week Lows Today Include: Goodyear Tire, Kellogg, Philip Morris, Altria, QUALCOMM, Hershey, and American Airlines",0
"Seneca Foods Q4 EPS $(0.91) Up From $(1.46) YoY, Sales $262.59M Down From $299.679M YoY",1
Muddy Waters Denies Reports they are Targeting Chinese A-Share Market,3
"Amazon, Under Armour, Pandora: Fast Money Picks For December 8",3
Sterling Partners & Permira Funds To Acquire eBay Enterprise For $925M,5
"Stifel Nicolaus Maintains Power Integrations at Buy, Raises PT from $44 to $45",5
"ExxonMobil, Renewable Energy Offer Progress On Cellulosic Biodiesel Research: 'Companies agree to extend research program based on positive findings'",2
"Biogen, Eisai To Discontinue Phase 3 ENGAGE, EMERGE Trials Of Aducanumab In Alzheimer's",2
PEP and DMND Play Organic Food Game,3
"Credit Suisse Maintains Outperform on Medivation, Inc., Raises PT to $95.00",5
"Morgan Stanley Maintains Overweight on Assurant, Raises Price Target to $149",5
Novogratz Long Equities and Currency in India; Multi-Year Trade,3
"The Daily Biotech Pulse: AbbVie Halts Lung Cancer Trial, Oncomed Merges With Mereo, Momenta Offering",2
"Deutsche Bank Maintains Groupon at Hold, Lowers PT from $6 to $4",5
"B. Riley Upgrades Tronox Limited to Buy, Raises PT to $29.00",5
"ImmunoCellular Therapeutics, Ltd. Reports Q2 EPS of $(0.04) vs $(0.06) Est",1
Snap Is The Hottest Stock Among Short Sellers,0
"Earnings Scheduled For July 16, 2019",3
Scholastic Corp Reports Q1 EPS $(0.81) vs $(1.04) Est; Revenues $318.0M vs $302.2M Est,1
"Oppenheimer Initiates Coverage On MLP's (BWP, EEP, EPB, EPD, ETP, MMP, OKS, PAA, RGNC, SEP)",2
Stocks That Hit 52-Week Lows On Thursday,9
"Developers Diversified Realty Secures Advertising and Sponsorship Agreements with AT&T and Coca-Cola in Puerto Rico (DDR, T, COKE, MA)",8
25 Stocks Moving In Monday's Pre-Market Session,4
"Alexion To Acquire Syntimmune; Alexion Will Acquire Syntimmune For An Upfront Payment Of $400M With The Potential For Milestone-Dependent Payments Of Up To $800, For Total Value Of $1.2B",8
CF Industries Shares Bid Higher Premarket on Confirmation of Merger Talks with Yara,8
56 Stocks Moving In Friday's Mid-Day Session,4
"Acme United Reports Q2 EPS $0.91 vs $0.74 in Same Qtr. Last Year, Sales $41M; Raises FY16 Outlook",1
"Morgan Stanley Maintains Diamond Offshore Drilling at Overweight, Raises PT from $81 to $85",5
KeyBanc Upgrades Tempur-pedic International Inc to Buy,5
"Today In Blockchain: Robinhood, Future Fintech, Applied DNA Sciences, Bank of America",2
Infinera CEO Says '...demand is softening in certain areas of our business and we face a difficult near-term revenue outlook',3
QEP Resources Reports Q3 EPS $0.47 vs $0.39 Est; Revenues $852.4M vs $658.86M Est,1
Hancock Holdings Reports Inline Q1 EPS $0.05,1
Sterne Agee: Denbury Resources Share Price Could Decline To $8,3
"Earnings Scheduled For December 4, 2012",3
"Argus Downgrades Kinder Morgan To Hold, Sees Investors Concerned About Dividend",5
SSgA Changes Indexes For 5 Popular ETFs,0
"Tandem Diabetes Care Reports CFO John Cajigas To Retire; Senior VP Of Finance, Leigh Vosseller, Promoted To CFO",0
iGATE Reports Q4 EPS of $0.34,1
"Stocks Which Set New 52-Week High Friday, September 7th",0
Wide Moat ETF off to Decent Start,3
Stellus Capital Investment Corp. Reports Q1 Net Investment Income $0.33/Share,1
Net Neutrality Could Mean Lost Calls For Telecom ETFs,0
FSIC Reports Q4 Adj. Net Investment Income $0.23 vs. $0.25 Est.,1
"Short Interest in Home Builder Stocks Rises (MTH, SPF, TPH)",0
12 Biggest Mid-Day Losers For Wednesday,3
"NxStage Medica Q1 EPS $(0.02) vs $(0.02) Est, Sales $96.83M vs $95.29M Est",1
"Debate Over How Much Sovereignty Greece Has To Cede To EU -DJ, Sources",3
Pernix Therapeutics Spikes to High of $4.80 on Volume,2
"Fiat Chrysler CEO Says Has No Intention To Sell Maserati Brand, Sees It As Core Part Of Business",8
Option Alert: Talisman Shares Move to High; Nov $6 Call Active,8
Bristol-Myers Squibb Hits Lowest Level In 2 Years After Mixed Q4 Report,1
Dow Dips Over 200 Points; Vistaprint Shares Surge On Strong Results,3
HMS Holdings Wins Temporary Injunction vs Public Consulting Group In Trade Secrets Case,2
77 Biggest Movers From Yesterday,7
"Stifel Nicolaus Downgrades Broadcom Corporation to Hold, Removes $34.00 PT",5
40 Stocks Moving In Friday's Pre-Market Session,4
"China Natural Resources Shares Halted on Breaker, Halted Down 3.5%",3
Morgan Stanley Earlier Downgraded Lamar Advertising Company to Equal-weight,5
"Domino's Shares Remain Up 3.9% As Traders Earlier Circulated Tweet From 680 News Reporter Highlighting 2-Day Old Report Of Interest From 'Berger King'; 680 News Reporter Has Since Deleted Original Tweet, Republished But Without Indication From 'Sources'",3
Weight Watchers Falling a Bit after Vivus Weight-Loss Drug Receives Positive Vote,2
Steel Partners Holdings LP Reports Q3 EPS of $(0.52); Revenue of $210.70M,1
"10 Notable Stocks Trading Ex-Dividend Thursday, December 8",4
"Benzinga Pro Mornings Price Check For Major Averages: S&P 500 Down 7 (0.3%), Dow 30 Down 67 (0.3%), Nasdaq Down 21 (0.3%), Russell 2000 Down 15 (1.0%)",5
Karyopharm Announces FDA Extension Of Review Period For Selinexor New Drug Application,2
Travelzoo Spikes Lower,2
Earnings Scheduled For January 23,3
"Spruce Point Capital Tweets: 'As if Shark wasn't enough for $IRBT, electrolux is also out with a new game changing robotic vacuum. http://www.electroluxgroup.com/en/electrolux-launches-game-changing-robotic-vacuum-cleaner-23907/ … #negative'",5
"How Close Is A Sanofi, Genzyme Deal? (GENZ, SNY)",2
58 Stocks Moving In Wednesday's Mid-Day Session,4
"Eastman Kodak Reports Adopted Tax Asset Protection Plan, Filed Amendment To Certificate Of Incorporation In Order To Protect Co.'s Substantial Tax Assets",8
"Ocular Therapeutix Reports Early Assignment Of Permanent, Specific J-Code (J1096) For DEXTENZA 0.4mg",2
Athersys Announces Positive Interim Results From Ongoing Phase I Study of MultiStem(R),2
Ultra Clean Holdings Announces $99M Merger Agreement with American Integration Technologies,8
Watch These 5 Huge Call Purchases In Tuesday Trade,3
38 Stocks Moving In Wednesday's Mid-Day Session,4
American Electric Technologies subsidiary M&I Electric announces power system award for New England LNG project,8
"S&P Announces Citizens Financial to Join S&P 500; ZELTIQ, RE/MAX to Join S&P SmallCap 600",3
"Rite Aid Reports Q2 Adj. EPS $(0.01), Inline, Sales $7.7B vs $7.83B Est.",1
"A Look At Benzinga Pro's Most-Searched Tickers For June 18, 2019",5
More Bad News For PC Market,3
ServiceNow Q3 Earnings Preview,1
This Bud's For You: InBev's $103 Billion Takeover Of Rival SABMiller Is Official,8
Mid-Day Market Update: True Religion Rallies Despite Market Downturn,3
"CEOWORLD Top 10 Oil & Gas Stocks 2011- CVX, XOM, EC, BP, DVN, OXY, CHK, EQT, CVE, WNR, ECA, SLB, COG, HAL, TOT",0
"Earnings Scheduled For December 5, 2017",3
"Insider Buys Of The Week: GTT Communications, Dish Network, Heico",0
Adobe Is Killing Flash,3
Morning Market Movers,3
Universal Technical Institute Reports Q1 EPs of $0.42 vs. $0.40,1
28 Stocks Moving In Tuesday's Pre-Market Session,4
"Wells Fargo Maintains Overweight on Leidos Holdings, Lowers Price Target to $105",5
Credit Suisse Downgrades Taiwan Semiconductor to Neutral,5
Mid-Morning Market Update: Markets Mixed; FedEx Earnings Miss Estimates,3
UPDATE: Morgan Stanley Lowers Price Target on TRW Automotive Holdings to $65,5
25 Stocks Moving In Thursday's Pre-Market Session,4
Solar Senior Capital Increases Dividend to $0.1175,8
UPDATE: Deutsche Bank Cuts PT to $64 on Baxter International,5
"Midday Losers From October 31: Aegerion Pharmaceuticals, Bottomline Technologies, Digital Globe",2
"Stocks Which Set New 52-Week High Yesterday, August 2nd",0
Stocks That Hit 52-Week Lows On Monday,9
Tag Heuer Latest Sponsor To Drop Tiger Woods,0
"Buffett On Johnson & Johnson: Still An Attractive Business At This Price, But Would Sell If He Needed Capital -CNBC",3
"Brady Corp. Reports Q4 EPS $0.48 vs $0.46 Est., Sales $289.2M vs $280.5M Est.",1
"7 Stocks To Watch For June 13, 2018",4
Oracle Japan Profits 'Unexpectedly' Down In Fourth Quarter,1
"Wells Fargo Maintains Equal-Weight on Choice Hotels Intl, Lowers Price Target to $92",5
Liberty Global Offers Response To Sunrise Termination Of Share Purchase Deal,8
10 Small-To-Mid-Cap Biotech Ideas For When The Coronavirus Fades,2
"Barron's Picks And Pans: Apple, Exxon, Morgan Stanley And More",5
"Omnicell, Inc. Reports Q3 EPS of $0.31 vs $0.28 Est; Revenue of $94.0M vs $94.96M Est",1
"CenturyLink Q4 Adj. EPS $0.33, Inline, Sales $5.57B Beat $5.55B Estimate",1
S&P: Some ETF Investors Should Look at First-Half Laggards,0
PROS Announces 4M Share Common Stock Follow-On Offering,0
Shares of several oil & gas companies are trading higher after the new Saudi energy minister said there would be no radical change in the country's oil policy and the deal to cut oil production by 1.2 million barrels per day will stay.,3
"Earnings Scheduled For November 1, 2017",3
"Morgan Stanley Maintains Calpine at Overweight, Raises PT from $22 to $27",5
Goldman Lowers Its View On Retail REITS,5
"News Corp May Cut More than 100 Jobs, According to Source -DJ",3
"Ever-Glory Shares Up 10% On Very Light Volume (~300 Shares) Following Form 4 Filing From Co. CEO, Pres Yihua Kang Showing Purchase Of 174.8K Shares On Oct. 9 For $524.4K",3
Stifel Upgrades Yamana Gold to Buy,5
"Citigroup Maintains Coopers at Neutral, Raises PT from $92 to $98",5
Afternoon Losers; American Superconductor Down Nearly 10%,3
Forward Air Announces Purchase of Multi-Modal for $5.75M,8
USA Technologies 8-K Shows Co. Received Notice From Nasdaq Listing Qualifications Dept. Related To Non Compliance With Listing Rule To Hold Annual Shareholders Meeting Within 12 Months Following End Of Fiscal Period,0
"Stocks That Will Be Trading Ex Dividend Mon., Oct. 29, 2018",0
18 Stocks Moving In Friday's Pre-Market Session,4
"Insiders Trading HAIN, APKT, ANDS, DISH",3
Ukraine Tension Prominent As Dow Suffers Triple Digit Loss; S&P 500 & NASDAQ Also Lower,3
Sears Spinoff Seritage Growth Up Huge After Warren Buffett Takes 8% Stake,0
"Aggressive Growth Stock Picks-Nov.19, 2010 - Zacks Rank Buys",0
"Earnings Scheduled For May 5, 2016",3
Eli Lilly Issues Statement Related to Intention to Cancel Listing of London Stock Exchange Shares,2
America Wants More Organic Products Than Anyone Else: Here's How To Play It,3
SocGen Initiates Big Drug/Pharma Names,2
Teradata Announces Will Showcase Benefits of Data-Driven Gov't at DATA Summit,8
7 Stocks You Should Be Watching Today,4
Stocks That Hit 52-Week Lows On Friday,9
5 Biggest Price Target Changes For Tuesday,5
Stocks That Hit 52-Week Lows On Thursday,9
Top 4 Stocks In The Residential Construction Industry With The Lowest PEG Ratio,0
Stifel Nicolaus Upgrades Teekay LNG Partners to Buy,5
February Consumer Price Index 0.5% vs. 0.4%,3
"Earnings Scheduled For March 18, 2013",3
Atlas Holdings LLC to Purchase AGI Media & Entertainment Packaging (MWV),8
RBC Capital Downgrades Credit Suisse Group to Sector Perform,5
The Line On Hardlines With Brian Sozzi (TBL),0
4 Key Takeaways From ASCO,2
"Bed Bath & Beyond Says Q3 Was Significantly Impacted By Calendar Shift Of Thanksgiving Holiday, Resulting In One Less Week Of Holiday Sales; Also Says Believes It Is Appropriate To Withdraw Its Fiscal 2019 Full Year Financial Guidance.",1
"Digi Int'l Sees FY18 EPS $(0.01)-$0.01 vs $(0.05) Estimate, Adj. EBITDA $21M-$22M, Sales $223M-$227M vs $218.7M Est.",1
Inside Mortgage Finance Reports Ocwen May be for Sale,3
PowerShares Becomes Latest Competitor In Plain Vanilla Fee War,3
Notable Call Options Activity in Canadian Solar,8
Int'l. Speedway Raises Qtr. Dividend From $0.47 To $0.49/Share,8
"UPDATE: Plug Power Shares Rise 45%, Above the $4 Level, Following Announcement of Deal with Fedex",8
"Nustar GP Holdings, LLC Reports Q3 EPS of $0.41 vs $0.40 Est",1
Regency Centers Purchases Oak Shade Town Center for $35 Million,3
FDA To Review Alzheimer's Brain Scan (LLY),2
Owens-Illinois Acquires Almost 50% of Empresas Comegua for $119M,5
Top 4 NASDAQ Stocks In The Marketing Services Industry With The Highest Revenue,0
"Stocks Which Set New 52-Week High Yesterday, September 17th",0
"Shares of several healthcare companies are trading higher on continued optimism amid the reopening of the economy, which would increase consumer spending and economic activity.",3
"Benzinga's Top Upgrades, Downgrades For February 26, 2018",5
CymaBay Therapeutics Granted EMA Orphan Drug Designation for Seladelpar for Treatment of Primary Biliary Cholangitis,2
Watch These 5 Huge Put Purchases In Thursday Trade,3
"Envision Healthcare Reports Q4 Adj. EPS $1.15 vs. YoY $1.07, Sales $1.39B vs. YoY $704.3M",1
Garmin Receives Positive Mad Money/Jim Cramer Mention -CNBC,3
Amazon's Web Services Conference Takeaways From Deutsche Bank,8
"Keep an Eye on These 7 Stocks for February 1, 2016",4
Raymond James Downgrades Harsco Corporation to Outperform,5
"Benzinga's M&A Chatter for Tuesday January 10, 2012",5
Stocks Hitting 52-Week Highs,6
TiVo Reports Expansion Of IP Licensing Deal With TCL In North America,8
CareDx Reports Proposed Public Offering of Common Stock,0
IPO Outlook: Shake Shack IPO Set To Wrap Up Busy Week,3
Earnings Preview: Prudential's Revenue Expected to Fall from Previous Quarter,3
"Morning Losers for Mar. 6, 2014: LOV, XGTI, SPLS, PLCE, MXWL, P, PLUG, COST",3
"Feuerstein: Most Americans Aren't Aware On Daily Basis Of Drug Pricing Issue, Although Inconsequential, New Mainstream Attention Could Create Groundswell",2
Commodities Broadly Higher Into the Close,3
'Mad Money Lightning Round': Stick With Mosaic,3
Oiltanking Holding Americas Announces United Bulk Terminal Acquisition,2
Mid-Afternoon Market Update: Perrigo Slips On Earnings Miss; Sunedison Semiconductor Shares Surge,3
PG&E Files Formal Papers on Chapter 11 Restructuring Strategy; Plan Offers Nearly $18B to Wildfire Victims and Public Entities,2
Option Alert: eBay Apr 36.0 Calls: 900 @ Above Ask! $0.45: 928 traded vs 488 OI: Earnings 4/25 After Close (est) $33.74 Ref,8
Valuations now look extremely attractive,3
Morning Market Losers,3
AudioCodes Announces Restructuring of Operations,2
"Craig-Hallum Downgrades S&W Seed to Hold, Lowers Price Target to $4.00",5
"Engility Holdings Reports Q3 EPS $0.26 vs $(0.46) In Same Qtr. Last Year, Sales $487M vs $511.8 YoY",1
Noranda Aluminum Holding Corp. Trading Higher Today,3
Mid-Day Market Update: Tile Shop Drops On Earnings Miss; Educational Development Shares Climb,3
Asmussen Says German Q3 will be Weaker than Q2,1
"DSt Systems Q1 EPS $1.45 vs $1.26 Est, Sales $379.8M vs $381.0M Est",1
"VIVUS Board Names Michael Astrue as Chairman, Tony Zook as CEO",0
Cramer: Anbang Will Get Starwood,3
"Westamerica Bancorporation Reports Q3 EPS of $0.58, Inline",1
UPDATE: Wells Fargo Initiates Coverage on Achillion Pharmaceuticals,5
Stocks Hitting 52-Week Highs,6
Stocks That Hit 52-Week Lows On Thursday,9
The Life Of A Taco Analyst,3
"WP Carey Q3 FFO $1.34 vs $1.20 Est, Revenue $180M vs $176M Est",1
Mid-Morning Market Update: Markets Open Higher; Toll Brothers Profit Tops Views,3
Morgan Stanley Sees Full Valuation For Abercrombie & Fitch,5
Magal Earlier Announced Receipt Of $2.4M In Perimeter Security Contracts For International Airports,8
"Sector Update: Consumer Goods Leading, Utilities Lagging",3
Arena Says Eisai Will Double BELVIQ Sales Force to 400 Reps,5
"Option Alert: Skechers August 29 Call; 15,072 Contracts Traded vs 805 Open Interest; Currently $26.97",8
"J&J Announces Definitive Deal to Buy Aragon Pharma, to Make $650M Upfront Payment",5
Western Refining to Acquire ConocoPhillips 25K BPD Wingate Plant; Terms Not Disclosed,2
S&P Downgrades Tupperware From BBB- To BB+; Outlook Negative,5
18 Stocks Moving In Friday's Pre-Market Session,4
"ADP Sees FY20 Sales Growth ~3%, Adj. EPS Growth 4-7%",1
"The Market In 5 Minutes: Nvidia, Roku, Star Wars, And More",3
30 Stocks Moving In Tuesday's Mid-Day Session,4
"FBR Upgrades American Eagle: Upside, Execution, Value 'Hard To Ignore'",2
"ENGlobal Reports Winning Of 2 Modifications For Existing Contracts With US Dept. Of Defense, Totaled ~$15M",8
Martin Midstream Increases Qtrly Dividend to $0.7875,1
Integra Adds iPASSAGE Retractor - Analyst Blog,3
Stocks Hitting 52-Week Highs,6
"General Growth Properties, Inc. and Kimco Realty Form Joint Venture Partnership to Redevelop Owings Mills Mall in Maryland",0
Vishay COO Dieter Wunderlich To Retire Effective Dec. 31,0
10 Biggest Price Target Changes For Monday,5
UPDATE: Kimberly-Clark Reports 6.3% Drop In Q3 Profit,1
"Stocks Which Set New 52-Week High Yesterday, August 23rd",0
Devon Energy Corp. (DVN) remains strong above $68.7 level,5
Morgan Stanley Upgrades Accenture to Overweight,5
Primoris Services Wins $28M New Master Service Deal With Major Utility Customer,8
RBC Capital Upgrades Teck Resources Ltd Ordinary Shares to Outperform,5
146 Biotechnology Stocks Moving In Thursday's Session,4
Amazon Sees Q2 Sales $75B-$81B,8
"Chico's FAS, Inc. Files Definitive Proxy Materials and Mails Letter to Shareholders",0
Newfield Exploration Announces Proposed $500 Million Public Offering of Senior Notes,5
"Chunghwa Telecom Sees FY19 EPS NT$4.40-NT$4.60, Sales NT$220.56M-NT$222.91M",1
"The Daily Biotech Pulse: Novartis Psoriasis Drug Found Superior, Ascendis Offering, Adamas Earnings",2
"Barclays Initiates Coverage On O-I Glass with Underweight Rating, Announces $12 Price Target",5
"Qihoo 360 Reports Q1 Adj. Earnings $0.57/ADS vs $0.49/ADS Est., Sales $384.4M vs $378M Est.",1
"Earnings Scheduled For July 24, 2017",3
UPDATE: Wells Fargo Downgrades Micron Technology on Valuation,5
"UPDATE: Yum! Foods Sees China Comp Sales Going Positive in 4Q, Plans to Increase Exposure to Emerging Markets with New Stores Opening",3
Globalstar Statement Regarding Commission Circulation of an Order in IB Docket No. 13-213,8
Americold Realty Trust Aquires Cloverleaf Cold Storage,0
"Deutsche Bank Maintains Hold on Darden Restaurants, Inc., Raises PT to $54.00",5
"FICO Reports Q1 Adj. EPS $1.03 vs $0.99 in Same Qtr. Last Year, Sales $219.6M vs $212.6M Est.",1
"Canaccord Maintains Equinix at Buy, Raises PT from $150 to $170",5
Markets Drop; Darden Adjusted Profit Beats Street View,3
"UPDATE: Needham Maintains Buy On Micron, Raises Target To $70 Based On Firm's 'expectations for a mid-cycle recovery in CY20'",5
Sovran Self Storage Reports Q1 FFO $0.62 vs $0.61 Estimate (SSS),1
Shares Of Syngenta Falling,3
Cruise Industry Embarks On 'The Golden Age Of Cruising',3
"UPDATE: France and Brazil Exchanged Experience in Fiscal Policies, Says Baroin",3
38 Biggest Movers From Friday,7
Mid-Day Market Update: Dow Falls Over 100 Points; Cara Therapeutics Shares Spike Higher,3
Aircastle Raises Qtr. Dividend from $0.165 to $0.18/Share,8
Geeknet Resumes Trading,3
"ConocoPhillips (CC): Output from Eagle Ford, Bakken, Permian Regions 'as Expected,' Says Still Considering Options for Oil Sands Assets",2
Mid-Day Market Update: Cree Drops Following Weak Guidance; Myomo Shares Surge,3
A Peek Into The Markets: US Stock Futures Signal Higher Wall Street Open,3
"Benzinga's Top Upgrades, Downgrades For December 6, 2017",5
"UPDATE: TD Ameritrade's IMX Sentiment for Feb. Gains, Now at 5.74",5
Advent's Notes From DB Tech Conference,0
"Lions Gate Trading Down About 7% After Hours, Currently Trading Near $11.90",3
Aspen Insurance Names Scott Kirk CFO,0
AEO Opened With Hold,3
A Peek Into The Market Before The Trading Starts,3
Freeport-McMoRan to Gauge Global Economy,3
Mid-Afternoon Market Update: Chipotle Slides On Earnings Miss; NeoGenomics Shares Jump,3
"Grainger Q1 Adj. EPS $4.18 Beats $3.42 Est., Sales $2.8B Beats $2.71B Est.; Raises Guidance",1
FS Bancorp Q3 EPS $1.58 Up From $1.07 YoY,1
"Earnings Scheduled For January 27, 2017",3
"Jim Cramer Gives His Opinion On Akamai Technologies, Chevron And Others",3
"Morgan Stanley Maintains Equal-Weight on FedEx, Lowers Price Target to $156",5
"BMO Capital Maintains Market Perform on Bright Horizons Family, Raises Price Target to $118",5
UPDATE: JP Morgan On Ulta Notes '(2) management expressed a firm commitment to control expenses during the slowdown with specific evidence' 'which was a top concern from existing and potentially new long-only investors heading into the print',8
Agriculture ETF Now Positive (DBA),0
UK's Treasury sec Alexander confident BOE has powers to address housing via ForexLive,0
"Stocks Trading Ex Dividend For Mon., Oct, 15, 2018",0
"DA Davidson Raises Target on Nanometrics from $17 to $18, Pacific Crest Raises from $20 to $23",5
"Stocks to Watch for May 2, 2013",4
"Notable Insider Buys In The Past Week: AutoZone, Exxon, Dell And More",0
25 Stocks Moving In Friday's Pre-Market Session,4
UPDATE: Regis Posts Upbeat FQ4 Profit,3
"BMO Capital Markets Maintains Halcon Resources at Outperform, Lowers PT from $10 to $9",5
Wells Fargo Downgrades CenterPoint Energy to Market Perform,5
"Company News for January 07, 2011 - Corporate Summary",3
The Latest Food Companies To Announce Ambitious Green Goals,3
Stocks That Hit 52-Week Lows On Friday,9
"Shares of several basic materials companies are trading higher, potentially rebounding from recent weakness. While coronavirus fears persist in China and globally, the number of new cases reported has slowed today.",3
Watch These 5 Huge Call Purchases In Monday Trade,3
"Raymond James Maintains Outperform on Brown & Brown, Raises Price Target to $48",5
"Integrated Electrical Services Reports Q1 Revs YEN$8B, no estimates",1
"Notable Insider Buys Of The Past Week: AT&T, Halliburton And More",0
Bristol-Myers Squibb And Acceleron Pharma Announce FDA Advisory Committee Will Review Reblozyl For Use In Patients With Myelodysplastic Syndromes,2
Pinnacle Foods Sees FY17 Adj. EPS Outlook At Low End Of Previously-Announced $2.55-$2.60 vs $2.59 Est.,1
Prudential Bancorp Q2 EPS $0.330 Up From $0.270 YoY,1
"Cabela's, Home Depot and Other Retail Stocks Worth a Look Now",0
"Marsh & McLennan Q4 EPS $1.09 Beats $1.05 Estimate, Sales $3.712B Miss $3.75B Estimate",1
Ampio Pharmaceuticals Spokesperson Confirms Seeking Alpha's Richard Cavalli Was Flown Out to Company Headquarters,2
"Hill International Late Monday Announced It Does Not Expect To Become Current With SEC Reporting By August 15, Will Begin Trading On OTC On August 14",0
"Morgan Stanley Upgrades FMC Technologies, Inc. to Overweight, Announces $65.00 PT",5
Morning Market Gainers,3
Cardiome Pharma Shares Up Nearly 9% (CRME),2
Buffalo Wild Wings Fails To Fly,2
"Utility Names Up, Solar Names Down As Investors Await Net Metering Decision From California",8
Brent Below $109 as Global Demand Wanes,3
KeyBanc Initiates Coverage on GenCorp Inc. at Hold,2
"Dish's Chairman Says AMC Has Devalued Content, There's a Price Where AMC Makes Sense but We Aren't At That Price",5
Macquarie Downgrades Dupont Fabros Technology to Neutral,5
Is Japan Next?,3
46 Stocks Moving In Tuesday's Mid-Day Session,4
Simulations Plus Reports Establishment Of StratgiesPlus Coronavirus ACT Program 'to speed consulting assistance to any organization involved in coronavirus research',2
Brean Murray Carret & Co. Upgrades Urban Outfitters from Sell to Hold,2
Zafgen Announces 2.8M Share Proposed Public Offering of Common Stock,0
NVIDIA Corporation Reports Q2 EPS of $0.29 vs $0.20 Est; Revenue of $1.10B vs $1.08B Est,1
"Golar LNG Partners LP Reports Q2 Net Income $53.8M, Operating Income $87.4M, Distributable Cash Flow $72.1M",1
"Fallout From New U.S. Cybersecurity Agency Includes Multiple Hacks, Profits For 'Cyber Bulls'",3
How Groupon and other factors tripped up our model,3
These ETFs House The Next Biotech Takeover Targets,2
"Jefferies Upgrades MDC Partners Inc. To Buy, Raises Price Target To $12",5
A Peek Into The Market Before The Trading Starts,3
"IBM On Conf. Call, Expects Q1 Adj. EPS $2.35-$2.48 vs $2.28 Est.",1
LMI Aerospace Drops 11.7% On Earnings And Revenue Miss (LMIA),3
30 Stocks Moving In Monday's Pre-Market Session,4
"JP Morgan Downgrades AGCO to Neutral, Announces $82 Price Target",5
Najarian Brothers See Unusual Options Activity In Analog Devices And Procter & Gamble,3
How Close Are Biotechs To Bringing A COVID-19 Treatment To Market?,2
